idpar;code_imu;object_id;insee;dep;libelle_zo;statut_dul;date_dul_1;annee;libelle_de;libelle__1;b1_fonct;b1_top_zac;b1_zon_cor;b1_t_bande;b1_bande;b1_art_5;b1_art_6;b1_art_71;b1_art_72;b1_art_73;b1_art_74;b1_art_8;b1_art_9;b1_art_10t;b1_art_10;b1_haut_m;b1_art_12;b1_art_13;b1_art_14;b2_fonct;b2_top_zac;b2_zon_cor;b2_t_bande;b2_bande;b2_art_5;b2_art_6;b2_art_71;b2_art_72;b2_art_73;b2_art_74;b2_art_8;b2_art_9;b2_art_10t;b2_art_10;b2_haut_m;b2_art_12;b2_art_13;b2_art_14;b1_haut_mt;b1_art_9_t
77152000AD0044;77007129;5212;77152;77;77152Nb;0.0;2009-09-17 00:00:00;2009.0;Nb;Nb;99.0;99.0;1.0;99.0;99.0;99.0;99.0;99.0;99.0;99.0;99.0;99.0;99.0;99.0;99.0;99.0;99.0;99.0;99.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;999.0;999.0
77152000AT0243;77007132;5239;77152;77;77152UE;0.0;2009-09-17 00:00:00;2009.0;UE;UE;0.0;0.0;1.0;1.0;30.0;600.0;4.0;2.0;2.5;2.5;2.0;8.0;0.3;1.0;3.0;9.0;1.0;88.0;0.4;0.0;0.0;0.0;2.0;0.0;600.0;4.0;2.0;2.5;2.5;2.0;8.0;0.3;1.0;0.0;0.0;1.0;88.0;0.4;9.0;0.30000001
77152000AT0250;77007132;5239;77152;77;77152UE;0.0;2009-09-17 00:00:00;2009.0;UE;UE;0.0;0.0;1.0;1.0;30.0;600.0;4.0;2.0;2.5;2.5;2.0;8.0;0.3;1.0;3.0;9.0;1.0;88.0;0.4;0.0;0.0;0.0;2.0;0.0;600.0;4.0;2.0;2.5;2.5;2.0;8.0;0.3;1.0;0.0;0.0;1.0;88.0;0.4;9.0;0.30000001
77152000AT0299;77007132;5239;77152;77;77152UE;0.0;2009-09-17 00:00:00;2009.0;UE;UE;0.0;0.0;1.0;1.0;30.0;600.0;4.0;2.0;2.5;2.5;2.0;8.0;0.3;1.0;3.0;9.0;1.0;88.0;0.4;0.0;0.0;0.0;2.0;0.0;600.0;4.0;2.0;2.5;2.5;2.0;8.0;0.3;1.0;0.0;0.0;1.0;88.0;0.4;9.0;0.30000001
77152000AT0254;77007132;5239;77152;77;77152UE;0.0;2009-09-17 00:00:00;2009.0;UE;UE;0.0;0.0;1.0;1.0;30.0;600.0;4.0;2.0;2.5;2.5;2.0;8.0;0.3;1.0;3.0;9.0;1.0;88.0;0.4;0.0;0.0;0.0;2.0;0.0;600.0;4.0;2.0;2.5;2.5;2.0;8.0;0.3;1.0;0.0;0.0;1.0;88.0;0.4;9.0;0.30000001
77152000AT0260;77007132;5239;77152;77;77152UE;0.0;2009-09-17 00:00:00;2009.0;UE;UE;0.0;0.0;1.0;1.0;30.0;600.0;4.0;2.0;2.5;2.5;2.0;8.0;0.3;1.0;3.0;9.0;1.0;88.0;0.4;0.0;0.0;0.0;2.0;0.0;600.0;4.0;2.0;2.5;2.5;2.0;8.0;0.3;1.0;0.0;0.0;1.0;88.0;0.4;9.0;0.30000001
77152000AT0275;77007132;5239;77152;77;77152UE;0.0;2009-09-17 00:00:00;2009.0;UE;UE;0.0;0.0;1.0;1.0;30.0;600.0;4.0;2.0;2.5;2.5;2.0;8.0;0.3;1.0;3.0;9.0;1.0;88.0;0.4;0.0;0.0;0.0;2.0;0.0;600.0;4.0;2.0;2.5;2.5;2.0;8.0;0.3;1.0;0.0;0.0;1.0;88.0;0.4;9.0;0.30000001
77152000AT0307;77007132;5239;77152;77;77152UE;0.0;2009-09-17 00:00:00;2009.0;UE;UE;0.0;0.0;1.0;1.0;30.0;600.0;4.0;2.0;2.5;2.5;2.0;8.0;0.3;1.0;3.0;9.0;1.0;88.0;0.4;0.0;0.0;0.0;2.0;0.0;600.0;4.0;2.0;2.5;2.5;2.0;8.0;0.3;1.0;0.0;0.0;1.0;88.0;0.4;9.0;0.30000001
77152000AT0345;77007132;5239;77152;77;77152UE;0.0;2009-09-17 00:00:00;2009.0;UE;UE;0.0;0.0;1.0;1.0;30.0;600.0;4.0;2.0;2.5;2.5;2.0;8.0;0.3;1.0;3.0;9.0;1.0;88.0;0.4;0.0;0.0;0.0;2.0;0.0;600.0;4.0;2.0;2.5;2.5;2.0;8.0;0.3;1.0;0.0;0.0;1.0;88.0;0.4;9.0;0.30000001
77152000AT0263;77007132;5239;77152;77;77152UE;0.0;2009-09-17 00:00:00;2009.0;UE;UE;0.0;0.0;1.0;1.0;30.0;600.0;4.0;2.0;2.5;2.5;2.0;8.0;0.3;1.0;3.0;9.0;1.0;88.0;0.4;0.0;0.0;0.0;2.0;0.0;600.0;4.0;2.0;2.5;2.5;2.0;8.0;0.3;1.0;0.0;0.0;1.0;88.0;0.4;9.0;0.30000001
77152000AT0298;77007132;5239;77152;77;77152UE;0.0;2009-09-17 00:00:00;2009.0;UE;UE;0.0;0.0;1.0;1.0;30.0;600.0;4.0;2.0;2.5;2.5;2.0;8.0;0.3;1.0;3.0;9.0;1.0;88.0;0.4;0.0;0.0;0.0;2.0;0.0;600.0;4.0;2.0;2.5;2.5;2.0;8.0;0.3;1.0;0.0;0.0;1.0;88.0;0.4;9.0;0.30000001
